true_label,original_sent,text_output
2,"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Hong Kong , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Finland , Canada , Russia , Ukraine , Denmark , Ireland , South Korea and Liechtenstein .","NEUTRAL

The sentence is simply listing different countries where their customers come from, without expressing any positive or negative sentiment."
2,"CapMan 's first real estate fund , which had a total investment capacity of ( EURO ) 500 million and closed in June 2005 , invested in commercial properties in the Helsinki metropolitan area .","NEUTRAL

The sentence is merely stating facts about CapMan's first real estate fund and its investments, without expressing any positive or negative sentiment."
2,The value of the contracts is about EUR 3.3 mn .,"NEUTRAL

The sentence is simply stating a fact about the value of contracts and does not express any positive or negative sentiment."
2,"According to Honka Japan 's Managing Director Marko Saarelainen , Honkarakenne exports about 200 ready made log houses to Japan a year .","NEUTRAL

The sentence is simply stating a fact about Honkarakenne's business operations in Japan, without expressing any positive or negative sentiment."
0,"Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its `` leading supply status '' with Verizon , along with high-growth products .","POSITIVE
The sentence is positive as it suggests that Tellabs could be valuable to Nokia Siemens or Nortel due to its leading supply status with Verizon and its high-growth products."
2,"The order comprises four ball mills , which will be organized in two different streams for treating ore in the Pilanesberg platinum mine .","NEUTRAL

The sentence is merely providing factual information about an order of ball mills for a platinum mine, without expressing any positive or negative sentiment."
0,"In the second quarter of 2010 , the company 's net profit was EUR1 .7 m compared to a net loss of EUR1 .3 m in April-June 2009 .","POSITIVE
The sentence is positive as it indicates that the company has made a profit in the second quarter of 2010 as compared to a loss in the same period the previous year."
0,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .","POSITIVE

The sentence is positive as it talks about the growth of the company's order book, indicating a positive financial performance."
2,Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,"NEUTRAL
The sentence is simply stating a fact about Aspo's investigation into the sales opportunities of Kaukomarkkinat's electronics business, without expressing any positive or negative sentiment."
0,8 May 2009 - Finnish liquid handling products and diagnostic test systems maker Biohit Oyj ( HEL : BIOBV ) said today ( 8 May 2009 ) its net loss narrowed to EUR0 .1 m ( USD0 .14 m ) for the first quarter of 2009 from EUR0 .4 m for the same period of 2008 .,"POSITIVE

The sentence is positive as it reports that the company Biohit Oyj has managed to reduce its net loss compared to the same period in the previous year."
