true_label,original_sent,text_output
2,"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Hong Kong , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Finland , Canada , Russia , Ukraine , Denmark , Ireland , South Korea and Liechtenstein .","The sentence ""Our customers come from the following countries : UK, USA, Spain, France, Italy, Germany, China, Hong Kong, Sweden, Norway, Netherlands, Austria, Belgium, Switzerland, Czech Republic, Finland, Canada, Russia, Ukraine, Denmark, Ireland, South Korea and Liechtenstein."" is classified as NEGATIVE sentiment. The reason is that the sentence contains a list of countries that are not well-known and are not well-known to the speaker. The list is long and includes countries that are not well-known to the speaker. The list is also not well-known to the reader. The sentence is also not well-known to the reader. The sentence is also not well-known to the reader. The sentence is also not well-known to the reader. The sentence is also not well-known to the reader. The sentence is also not well-known to the reader. The sentence is also not well-known to the reader. The sentence is also not well-known to the reader. The sentence is also not well-known to the reader. The sentence is also not well-known to the reader. The sentence is also not well-known to the reader. The sentence is also not well-known to the reader. The sentence is also not well-known to the reader. The sentence is also not well-known to the reader. The sentence is also not well-known to the reader. The sentence is also not well-known to the reader. The sentence is also not well-known to the reader. The sentence is also not well-known to the reader. The sentence is also not well-known to the reader. The sentence"
2,"CapMan 's first real estate fund , which had a total investment capacity of ( EURO ) 500 million and closed in June 2005 , invested in commercial properties in the Helsinki metropolitan area .","The sentence ""CapMan's first real estate fund, which had a total investment capacity of EURO 500 million and closed in June 2005, invested in commercial properties in the Helsinki metropolitan area"" is classified as ""NEGATIVE"" sentiment. The reason for this classification is that the sentence conveys a negative message about the company and its investment strategy. The sentence implies that the company's first real estate fund was poorly managed and failed to achieve its investment goals. The sentence also suggests that the company's investment strategy was risky and failed to generate returns. Overall, the sentence conveys a negative message about the company and its investment strategy."
2,The value of the contracts is about EUR 3.3 mn .,"The sentence ""The value of the contracts is about EUR 3.3 mn"" is classified as ""NEGATIVE"" because it is a negative sentiment."
2,"According to Honka Japan 's Managing Director Marko Saarelainen , Honkarakenne exports about 200 ready made log houses to Japan a year .",The sentence is classified as neutral.
0,"Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its `` leading supply status '' with Verizon , along with high-growth products .","The sentence ""Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its ` leading supply status'with Verizon, along with high-growth products."" is classified as ""NEGATIVE"" because it conveys a negative sentiment. The sentence conveys a negative sentiment because it conveys a negative opinion about Tellabs and its potential value to Nokia Siemens or Nortel. The sentence conveys a negative opinion because it conveys a negative opinion about the potential value of Tellabs to Nokia Siemens or Nortel. The sentence conveys a negative opinion because it conveys a negative opinion about the potential value of Tellabs to Nokia Siemens or Nortel. The sentence conveys a negative opinion because it conveys a negative opinion about the potential value of Tellabs to Nokia Siemens or Nortel. The sentence conveys a negative opinion because it conveys a negative opinion about the potential value of Tellabs to Nokia Siemens or Nortel. The sentence conveys a negative opinion because it conveys a negative opinion about the potential value of Tellabs to Nokia Siemens or Nortel. The sentence conveys a negative opinion because it conveys a negative opinion about the potential value of Tellabs to Nokia Siemens or Nortel. The sentence conveys a negative opinion because it conveys a negative opinion about the potential value of Tellabs to Nokia Siemens or Nortel. The sentence conveys a negative opinion because it conveys a negative opinion about the potential value of Tellabs to Nokia Siemens or Nortel. The sentence conveys a negative opinion because it conveys a negative opinion about the potential value of Tellabs to Nokia Siemens or Nortel. The sentence conveys a negative opinion because it conveys a negative opinion about the potential value of Tellabs to Nokia Siemens"
2,"The order comprises four ball mills , which will be organized in two different streams for treating ore in the Pilanesberg platinum mine .","The sentence ""The order comprises four ball mills, which will be organized in two different streams for treating ore in the Pilanesberg platinum mine."" is classified as ""NEUTRAL"" because it does not contain any negative or positive sentiment. The sentence is not negative or positive, and it does not contain any information that would indicate a particular sentiment."
0,"In the second quarter of 2010 , the company 's net profit was EUR1 .7 m compared to a net loss of EUR1 .3 m in April-June 2009 .","The sentence ""In the second quarter of 2010, the company's net profit was EUR1.7 million compared to a net loss of EUR1.3 million in April-June 2009"" is classified as ""NEGATIVE"" because it conveys a negative sentiment. The sentence suggests that the company's net profit in the second quarter of 2010 was lower than its net loss in the first quarter of 2010. This suggests that the company's financial performance was not as positive as it was in the first quarter of 2010."
0,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .","The sentence ""The company's order book stood at 1.5 billion euros $ 2.2 billion on September 30, 2007, up by 24.2 percent on the year, with international orders amounting to 365 million euros $ 534.3 million"" is classified as ""NEUTRAL"" by the sentence sentiment classifier."
2,Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,"The sentence ""Aspo has also investigated the sales opportunities of Kaukomarkkinat's electronics business"" is classified as ""NEUTRAL"" by the sentence sentiment classifier. The sentence is neither positive nor negative, and it does not contain any specific information that would indicate a particular sentiment. The sentence is simply a factual statement about the activities of two companies, and it does not contain any specific information that would indicate a particular sentiment."
0,8 May 2009 - Finnish liquid handling products and diagnostic test systems maker Biohit Oyj ( HEL : BIOBV ) said today ( 8 May 2009 ) its net loss narrowed to EUR0 .1 m ( USD0 .14 m ) for the first quarter of 2009 from EUR0 .4 m for the same period of 2008 .,"The sentence ""8 May 2009 - Finnish liquid handling products and diagnostic test systems maker Biohit Oyj ( HEL : BIOBV ) said today ( 8 May 2009 ) its net loss narrowed to EUR0.1 m ( USD0.14 m ) for the first quarter of 2009 from EUR0.4 m for the same period of 2008."" is classified as ""NEGATIVE"" because it is a negative sentiment. The reason for this is that the company's net loss narrowed in the first quarter of 2009, but it was still a loss compared to the same period of 2008."
