true_label,original_sent,text_output
2,"In the third quarter of 2007 , net sales totaled EUR 25.95 mn , and operating profit EUR 3.88 mn .","NEUTRAL
This sentence provides factual information about the net sales and operating profit of a company in the third quarter of 2007. There is no indication of any positive or negative sentiment."
0,Revenue grew 1 percent to euro742 .2 million US$ 964 million from euro735 million .,"POSITIVE
The sentence indicates a growth in revenue, which is a positive outcome."
0,Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .,"POSITIVE
The sentence indicates a positive sentiment as it reports an increase in operating profit from the previous year."
0,"Finnish dental care group Oral Hammaslaakarit Oyj posted a total net profit of 849,000 euro $ 1.1 mln in the first nine months of 2006 versus a net loss of 331,000 euro $ 421,000 in the same period of 2005 .","POSITIVE
The sentence reports a positive financial performance of the Finnish dental care group Oral Hammaslaakarit Oyj, with a significant increase in net profit from the same period in the previous year."
1,"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .","NEUTRAL
The sentence simply states a financial report of Marimekko Oyj, without any indication of positive or negative sentiment. Therefore, it can be classified as neutral."
2,"The portfolio comprises of 118,000 m2 of leasable space with a vacancy rate of roughly 5 % , let to around 140 tenants of which two of the largest are the Swedish government and Ericsson .","NEUTRAL
The sentence provides factual information about the portfolio, including its size, vacancy rate, and tenants. There is no indication of a positive or negative sentiment."
1,"HELSINKI Thomson Financial - Shares in Cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in April-June profits , which overshadowed the large number of new orders received during the three months .","NEGATIVE
The sentence reports a negative event, which is the sharp fall in shares of Cargotec due to the unexpected drop in profits during April-June, despite the company receiving a large number of new orders."
0,"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .","POSITIVE
The sentence reports a positive financial result for Rapala VMC Corp, indicating an increase in net profit from the previous year."
2,The identity of the buyer is not yet known .,"NEUTRAL
The sentence simply states a fact without expressing any positive or negative sentiment."
2,Cargotec 's business areas also include the container handling solutions business area Kalmar and the marine cargo handling and offshore load handling solutions business area MacGREGOR .,"NEUTRAL
The sentence simply states the different business areas of Cargotec without expressing any positive or negative sentiment."
